resume_text,job_role
"python machine learning statistics pandas numpy sql","Data Scientist"
"python deep learning tensorflow keras nlp","ML Engineer"
"java spring boot rest api sql","Backend Developer"
"html css javascript react","Web Developer"
"python django flask sql","Full Stack Developer"
"c c++ data structures algorithms","Software Engineer"
"python sql power bi tableau","Data Analyst"
"aws cloud computing ec2 s3","Cloud Engineer"
"cyber security networking ethical hacking","Cyber Security Analyst"
"android kotlin java","Android Developer"
